0,0.25,0,420.994
0.025,0.25,0,421.504
0.05,0.25,0,422.014
0.075,0.25,0,422.524
0.1,0.25,0,423.034
0.125,0.25,0,423.544
0.15,0.25,0,424.054
0.175,0.25,0,424.564
0.2,0.25,0,425.074
0.225,0.25,0,425.585
0.25,0.25,0,426.095
0,0.225,0,428.894
0.025,0.225,0,429.404
0.05,0.225,0,429.914
0.075,0.225,0,430.425
0.1,0.225,0,430.935
0.125,0.225,0,431.445
0.15,0.225,0,431.955
0.175,0.225,0,432.465
0.2,0.225,0,432.975
0.225,0.225,0,433.485
0,0.2,0,436.795
0.025,0.2,0,437.305
0.05,0.2,0,437.815
0.075,0.2,0,438.325
0.1,0.2,0,438.835
0.125,0.2,0,439.345
0.15,0.2,0,439.856
0.175,0.2,0,440.366
0.2,0.2,0,440.876
0,0.175,0,444.695
0.025,0.175,0,445.206
0.05,0.175,0,445.716
0.075,0.175,0,446.226
0.1,0.175,0,446.736
0.125,0.175,0,447.246
0.15,0.175,0,447.756
0.175,0.175,0,448.266
0,0.15,0,452.596
0.025,0.15,0,453.106
0.05,0.15,0,453.616
0.075,0.15,0,454.126
0.1,0.15,0,454.637
0.125,0.15,0,455.147
0.15,0.15,0,455.657
0,0.125,0,460.497
0.025,0.125,0,461.007
0.05,0.125,0,461.517
0.075,0.125,0,462.027
0.1,0.125,0,462.537
0.125,0.125,0,463.047
0,0.1,0,468.397
0.025,0.1,0,468.908
0.05,0.1,0,469.418
0.075,0.1,0,469.928
0.1,0.1,0,470.438
0,0.075,0,476.298
0.025,0.075,0,476.808
0.05,0.075,0,477.318
0.075,0.075,0,477.828
0,0.05,0,484.199
0.025,0.05,0,484.709
0.05,0.05,0,485.219
0,0.025,0,492.099
0.025,0.025,0,492.609
0,2.77556e-17,0,500
0.25,0.25,0,426.095
0.25,0.225,0,433.485
0.25,0.2,0,440.876
0.25,0.175,0,448.266
0.25,0.15,0,455.657
0.25,0.125,0,463.047
0.25,0.1,0,470.438
0.25,0.075,0,477.828
0.25,0.05,0,485.219
0.25,0.025,0,492.609
0.25,2.77556e-17,0,500
0.225,0.225,0,433.485
0.225,0.2,0,440.876
0.225,0.175,0,448.266
